region,district,id_reg,district_short,region_alt_rus,region_eng,region_rus,col,row
Санкт-Петербург,Северо-Западный федеральный округ,RU-SPE,СЗФО,Спб,SPB,СПБ,0,0
Саратовская область,Приволжский федеральный округ,RU-SAR,ПФО,Сар,SAR,САР,7,6
Сахалинская область,Дальневосточный федеральный округ,RU-SAK,ДФО,Схлн,SHL,СХЛН,18,3
Cевастополь,Южный федеральный округ,RU-SEV,ЮФО,Сев,SEV,СЕВ,0,8
Свердловская область,Уральский федеральный округ,RU-SVE,УФО,Свер,SVE,СВРД,10,4
Смоленская область,Центральный федеральный округ,RU-SMO,ЦФО,Смол,SMO,СМОЛ,2,4
Ставропольский край,Северо-Кавказский федеральный округ,RU-STA,СКФО,Став,STV,СТАВ,5,9
Тамбовская область,Центральный федеральный округ,RU-TAM,ЦФО,Там,TMB,ТАМБ,5,6
Тверская область,Центральный федеральный округ,RU-TVE,ЦФО,Твeр,TVE,ТВЕР,3,3
Томская область,Сибирский федеральный округ,RU-TOM,СФО,Томск,TOM,ТОМ,12,3
Тульская область,Центральный федеральный округ,RU-TUL,ЦФО,Тул,TUL,ТУЛ,4,5
Тюменская область,Уральский федеральный округ,RU-TYU,УФО,Тюм,TMN,ТЮМ,11,3
Удмуртская Республика,Приволжский федеральный округ,RU-UD,ПФО,Удм,UDM,УДМ,9,4
Ульяновская область,Приволжский федеральный округ,RU-ULY,ПФО,Уль,ULN,УЛЬН,7,5
Хабаровский край,Дальневосточный федеральный округ,RU-KHA,ДФО,Хаб,HAB,ХАБ,16,3
Ханты-Мансийский автономный округ — Югра,Уральский федеральный округ,RU-KHM,УФО,Хан,HAN,ХАН,10,3
Челябинская область,Уральский федеральный округ,RU-CHE,УФО,Чел,CHL,ЧЕЛ,10,5
Чеченская Республика,Северо-Кавказский федеральный округ,RU-CE,СКФО,Чеч,CEC,ЧЕЧ,6,9
Чувашская Республика,Приволжский федеральный округ,RU-CU,ПФО,Чув,CHV,ЧУВ,7,4
Чукотский автономный округ,Дальневосточный федеральный округ,RU-CHK,ДФО,Чук,CHK,ЧУК,16,1
Ямало-Ненецкий автономный округ,Уральский федеральный округ,RU-YAM,УФО,Ямал,YAM,ЯМН,10,2
Ярославская область,Центральный федеральный округ,RU-YAR,ЦФО,Яро,YAR,ЯРЛ,4,3
